company,year,tipo,region,actual_ton
TASA,2023,T1,Norte,4270.0
TASA,2024,T1,Norte,68725.0233014
TASA,2024,T2,Norte,1478.7657464
TASA,2025,T1,Norte,12145.5059561
TASA,2025,T2,Norte,11395.0
AUSTRAL GROUP SAA,2015,T2,Centro Norte,5630.0
AUSTRAL GROUP SAA,2016,T1,Centro Norte,18190.0
AUSTRAL GROUP SAA,2016,T2,Centro Norte,71130.0
AUSTRAL GROUP SAA,2017,T1,Centro Norte,32775.0
AUSTRAL GROUP SAA,2017,T2,Centro Norte,70.0
AUSTRAL GROUP SAA,2018,T1,Centro Norte,121319.0
AUSTRAL GROUP SAA,2018,T2,Centro Norte,71680.0
AUSTRAL GROUP SAA,2019,T1,Centro Norte,39075.0
AUSTRAL GROUP SAA,2019,T2,Centro Norte,39090.0
AUSTRAL GROUP SAA,2020,T1,Centro Norte,90285.0
AUSTRAL GROUP SAA,2020,T2,Centro Norte,70995.0
AUSTRAL GROUP SAA,2021,T1,Centro Norte,106355.0
AUSTRAL GROUP SAA,2021,T2,Centro Norte,67640.0
AUSTRAL GROUP SAA,2022,T1,Centro Norte,66180.0
AUSTRAL GROUP SAA,2022,T2,Centro Norte,45915.0
AUSTRAL GROUP SAA,2023,T1,Centro Norte,290.0
AUSTRAL GROUP SAA,2023,T2,Centro Norte,29100.0
AUSTRAL GROUP SAA,2024,T1,Centro Norte,233653.1192168
AUSTRAL GROUP SAA,2024,T2,Centro Norte,70751.17582
AUSTRAL GROUP SAA,2025,T1,Centro Norte,62944.889242799996
AUSTRAL GROUP SAA,2025,T2,Centro Norte,54087.0
CFG-COPEINCA,2015,T2,Centro Norte,34590.0
CFG-COPEINCA,2016,T1,Centro Norte,44110.0
CFG-COPEINCA,2016,T2,Centro Norte,141808.0
CFG-COPEINCA,2017,T1,Centro Norte,178751.0
CFG-COPEINCA,2017,T2,Centro Norte,615.0
CFG-COPEINCA,2018,T1,Centro Norte,374670.0
CFG-COPEINCA,2018,T2,Centro Norte,226685.0
CFG-COPEINCA,2019,T1,Centro Norte,112114.0
CFG-COPEINCA,2019,T2,Centro Norte,216150.0
CFG-COPEINCA,2020,T1,Centro Norte,226405.0
CFG-COPEINCA,2020,T2,Centro Norte,206175.0
CFG-COPEINCA,2021,T1,Centro Norte,286470.0
CFG-COPEINCA,2021,T2,Centro Norte,208130.0
CFG-COPEINCA,2022,T1,Centro Norte,190043.0
CFG-COPEINCA,2022,T2,Centro Norte,124430.0
CFG-COPEINCA,2023,T1,Centro Norte,1922.2
CFG-COPEINCA,2023,T2,Centro Norte,84960.0
CFG-COPEINCA,2024,T1,Centro Norte,477532.7939112
CFG-COPEINCA,2024,T2,Centro Norte,205305.2448585
CFG-COPEINCA,2025,T1,Centro Norte,209037.6866031
CFG-COPEINCA,2025,T2,Centro Norte,172434.0
HAYDUK,2015,T2,Centro Norte,19328.0
HAYDUK,2016,T1,Centro Norte,32685.0
HAYDUK,2016,T2,Centro Norte,80355.0
HAYDUK,2017,T1,Centro Norte,77455.0
HAYDUK,2017,T2,Centro Norte,20.0
HAYDUK,2018,T1,Centro Norte,185440.0
HAYDUK,2018,T2,Centro Norte,112723.0
HAYDUK,2019,T1,Centro Norte,66400.0
HAYDUK,2019,T2,Centro Norte,10250.0
HAYDUK,2020,T1,Centro Norte,101320.0
HAYDUK,2020,T2,Centro Norte,77475.0
HAYDUK,2021,T1,Centro Norte,101541.0
HAYDUK,2021,T2,Centro Norte,95615.0
HAYDUK,2022,T1,Centro Norte,125388.0
HAYDUK,2022,T2,Centro Norte,67115.0
HAYDUK,2023,T1,Centro Norte,1740.0
HAYDUK,2023,T2,Centro Norte,35910.0
HAYDUK,2024,T1,Centro Norte,264394.7894886
HAYDUK,2024,T2,Centro Norte,98059.8061505
HAYDUK,2025,T1,Centro Norte,89410.0687317
HAYDUK,2025,T2,Centro Norte,54016.0
PESQUERA CENTINELA S.A.C,2015,T2,Centro Norte,570.0
PESQUERA CENTINELA S.A.C,2016,T1,Centro Norte,2950.0
PESQUERA CENTINELA S.A.C,2018,T1,Centro Norte,29660.0
PESQUERA CENTINELA S.A.C,2018,T2,Centro Norte,30605.0
PESQUERA CENTINELA S.A.C,2019,T1,Centro Norte,17655.0
PESQUERA CENTINELA S.A.C,2019,T2,Centro Norte,21467.0
PESQUERA CENTINELA S.A.C,2020,T1,Centro Norte,39705.0
PESQUERA CENTINELA S.A.C,2020,T2,Centro Norte,26130.0
PESQUERA CENTINELA S.A.C,2021,T1,Centro Norte,41485.0
PESQUERA CENTINELA S.A.C,2021,T2,Centro Norte,17455.0
PESQUERA CENTINELA S.A.C,2022,T1,Centro Norte,37701.0
PESQUERA CENTINELA S.A.C,2022,T2,Centro Norte,13362.0
PESQUERA CENTINELA S.A.C,2023,T2,Centro Norte,12000.0
PESQUERA CENTINELA S.A.C,2024,T1,Centro Norte,73888.9906196
